word,blank,missing,hint_th,hint_en,category
วิทยาศาสตร์,วิทยา...าสตร์,ศ,วิชาที่ศึกษาธรรมชาติ,science,การันต์ซับซ้อน
ประวัติศาสตร์,ประวัติ...าสตร์,ศ,การศึกษาเรื่องราวในอดีต,history,การันต์ซับซ้อน
สุขภาพ,สุข...าพ,ภ,ความแข็งแรงของร่างกาย,health,การันต์ซับซ้อน
อนุรักษ์,อนุ...ักษ์,ร,ดูแลรักษาสิ่งต่างๆ,conserve,การันต์ซับซ้อน
พัฒนาการ,พัฒ...าการ,น,การเจริญเติบโต,development,การันต์ซับซ้อน
เกษตร,เก...ตร,ษ,การปลูกพืชเลี้ยงสัตว์,agriculture,ตัวสะกดผิดมาตรา
ปรากฏ,ปรา...ฏ,ก,แสดงให้เห็น,appear,ตัวสะกดผิดมาตรา
สังเกต,สัง...ต,เก,มองดูอย่างละเอียด,observe,ตัวสะกดผิดมาตรา
ลักษณะ,ลั...ษณะ,ก,รูปร่างหน้าตา,characteristic,ตัวสะกดผิดมาตรา
วิเศษ,วิ...ษ,เศ,"ดีเยี่ยม, มหัศจรรย์",wonderful,ตัวสะกดผิดมาตรา
คอมพิวเตอร์,คอม...ิวเตอร์,พ,เครื่องประมวลผลข้อมูล,computer,คำทับศัพท์
อินเทอร์เน็ต,อิน...อร์เน็ต,เท,เครือข่ายทั่วโลก,internet,คำทับศัพท์
โทรทัศน์,โทร...ัศน์,ท,กล่องดูรายการ,television,คำทับศัพท์
วิตามิน,วิ...ามิน,ต,สารอาหารที่ร่างกายต้องการ,vitamin,คำทับศัพท์
กรุงเทพมหานคร,กรุงเทพ...หานคร,ม,เมืองหลวงของประเทศไทย,Bangkok,ชื่อเฉพาะ
สุวรรณภูมิ,สุวรรณ...ูมิ,ภ,สนามบินกรุงเทพ,Suvarnabhumi,ชื่อเฉพาะ
อยุธยา,อยุ...ยา,ธ,อดีตเมืองหลวงของไทย,Ayutthaya,ชื่อเฉพาะ
