word,blank,missing,hint_th,hint_en,category
กบ,ก...,บ,สัตว์สะเทินน้ำสะเทินบก ร้องอ๊บๆ,frog,ตัวสะกดผิดมาตรา
แมว,แม...,ว,สัตว์เลี้ยงร้องเหมียว,cat,ตัวสะกดผิดมาตรา
นก,น...,ก,สัตว์มีปีกบินได้,bird,ตัวสะกดผิดมาตรา
ปลา,ป...า,ล,สัตว์น้ำมีเกล็ด,fish,การันต์ซับซ้อน
ดอกไม้,ดอก...ม้,ไ,พืชที่มีสีสันสวยงาม,flower,การันต์ซับซ้อน
โรงเรียน,โรง...ยน,เรี,สถานที่ไปเรียนหนังสือ,school,การันต์ซับซ้อน
คุณครู,คุณ...รู,ค,ผู้สอนหนังสือ,teacher,คำทับศัพท์
เพื่อน,เพื่...,อน,คนที่เล่นด้วยกัน,friend,การันต์ซับซ้อน
บ้าน,บ้...,าน,ที่อยู่อาศัย,house,การันต์ซับซ้อน
รถยนต์,รถ...นต์,ย,พาหนะสี่ล้อ,car,คำทับศัพท์
กรุงเทพ,กรุง...ทพ,เ,เมืองหลวงของไทย,Bangkok,ชื่อเฉพาะ
เชียงใหม่,เชียง...หม่,ใ,จังหวัดทางภาคเหนือ,Chiang Mai,ชื่อเฉพาะ
